ISO2,Continent_name
AL,Europe
DZ,Africa
AO,Africa
AR,South America
AU,Oceania
AT,Europe
AZ,Asia
BD,Asia
BE,Europe
BO,South America
BW,Africa
BR,South America
BN,Asia
BG,Europe
KH,Asia
CM,Africa
CA,North America
CL,South America
CN,Asia
CO,South America
CG,Africa
CR,North America
HR,Europe
CZ,Europe
CI,Africa
DK,Europe
DO,North America
EC,South America
EG,Africa
SV,North America
GQ,Africa
EE,Europe
FI,Europe
FR,Europe
DE,Europe
GH,Africa
GR,Europe
GT,North America
GY,South America
HN,North America
HU,Europe
IN,Asia
ID,Asia
IR,Asia
IQ,Asia
IE,Europe
IL,Asia
IT,Europe
JM,North America
JP,Asia
JO,Asia
KZ,Asia
KE,Africa
KR,Asia
KW,Asia
LV,Europe
LY,Africa
LT,Europe
MG,Africa
MW,Africa
MY,Asia
MU,Africa
MX,North America
MN,Asia
MA,Africa
MZ,Africa
NZ,Oceania
NI,North America
NG,Africa
NO,Europe
OM,Asia
PK,Asia
PA,North America
PY,South America
PE,South America
PH,Asia
PL,Europe
PT,Europe
QA,Asia
RU,Europe
SA,Asia
SG,Asia
SK,Europe
SI,Europe
ZA,Africa
ES,Europe
SE,Europe
CH,Europe
TZ,Africa
TH,Asia
TN,Africa
TR,Asia
UG,Africa
UA,Europe
AE,Asia
GB,Europe
US,North America
UY,South America
VE,South America
VN,Asia